chulGubun,hrNo,korHrnm,prGubun,spTime,stTime,swimTr,time,trDate,trName2
차주출전,3017017,유수히어로,관리사,07:57,07:46,-,11분,2026-04-20,이준호(5조)
금주출전,1411893,엠케이리,관리사,06:21,06:12,-,9분,2026-04-20,박재우(50조)
금주출전,3016543,승일교,기수,07:42,07:33,-,9분,2026-04-20,변용호(2조)
차주출전,0055344,오아시스섀클,관리사,09:17,09:06,-,11분,2026-04-20,백광열(1조)
금주출전,0054827,키스더레인,관리사,07:44,07:33,-,11분,2026-04-20,문현철(3조)
차주출전,0055534,금성질주,관리사,09:36,09:20,-,16분,2026-04-20,이상영(27조)
차주출전,0055706,히트더러닝,관리사,08:23,08:07,-,16분,2026-04-20,방동석(26조)
차주출전,0055719,닥터포스,관리사,08:40,08:22,-,18분,2026-04-20,박재호(13조)
차주출전,0056028,투투스페이스,관리사,08:03,07:47,-,16분,2026-04-20,강형곤(2조)
차주출전,0056364,글로벌톱티어,관리사,08:12,07:50,-,22분,2026-04-20,구민성(10조)
차주출전,0054679,프라임록,관리사,08:09,07:53,-,16분,2026-04-20,강은석(22조)
특별대상경주,0054764,에이스하이,관리사,07:35,07:23,-,12분,2026-04-20,하무선(28조)
차주출전,0055526,두바이하트,관리사,07:51,07:35,-,16분,2026-04-20,임성실(7조)
차주출전,0055720,용비엑스,관리사,08:03,07:47,-,16분,2026-04-20,강형곤(2조)
차주출전,0055183,플레임,관리사,07:53,07:39,-,14분,2026-04-20,권승주(33조)
차주출전,0055725,월드라이언맨,관리사,08:19,08:07,-,12분,2026-04-20,임성실(7조)
차주출전,0055121,파워풀인디,관리사,08:38,08:24,-,14분,2026-04-20,김혜선(5조)
차주출전,0055985,희망가을,조교사,08:12,07:50,-,22분,2026-04-20,구민성(10조)
차주출전,0055389,포더빅토리,관리사,10:01,09:41,-,20분,2026-04-20,문현철(3조)
차주출전,0055220,회색질주,관리사,09:36,09:20,-,16분,2026-04-20,이상영(27조)
금주출전,0055027,브리도추추,관리사,07:17,07:06,-,11분,2026-04-20,문현철(3조)
차주출전,0055502,금아거티,관리사,10:04,09:48,-,16분,2026-04-20,이상영(27조)
차주출전,0056419,여수킹파이터,관리사,08:01,07:49,-,12분,2026-04-20,강은석(22조)
차주출전,0055680,인빈서블,관리사,08:40,08:27,-,13분,2026-04-20,유현명(19조)
차주출전,0055633,미스터선샤인,관리사,08:59,08:40,-,19분,2026-04-20,이상영(27조)
차주출전,0055134,송정투데이,관리사,07:18,07:08,-,10분,2026-04-20,유현명(19조)
차주출전,0055602,슈펙스로드,관리사,10:01,09:41,-,20분,2026-04-20,문현철(3조)
차주출전,0055370,티핑포인트,관리사,08:03,07:47,-,16분,2026-04-20,강형곤(2조)
차주출전,0055646,루비공주,관리사,07:54,07:43,-,11분,2026-04-20,장세한(17조)
차주출전,0055365,오아시스타임,관리사,08:07,07:53,-,14분,2026-04-20,백광열(1조)
차주출전,0055600,말리카,관리사,08:02,07:43,-,19분,2026-04-20,김도현(9조)
차주출전,0055589,스피드에지,관리사,08:59,08:47,-,12분,2026-04-20,라이스(31조)
차주출전,0056540,닥터에이트,관리사,08:06,07:54,-,12분,2026-04-20,백광열(1조)
차주출전,0056561,슈펙스니케,관리사,08:54,08:38,-,16분,2026-04-20,문현철(3조)
차주출전,0055963,파인애비뉴,관리사,07:30,07:15,-,15분,2026-04-20,라이스(31조)
차주출전,0055587,프라임제니,관리사,09:36,09:20,-,16분,2026-04-20,이상영(27조)
금주출전,0054767,선재,관리사,06:45,06:34,-,11분,2026-04-20,김도현(9조)
차주출전,0056045,세라프,관리사,07:51,07:35,-,16분,2026-04-20,임성실(7조)
차주출전,0055660,플라이스카이,관리사,08:12,07:50,-,22분,2026-04-20,구민성(10조)
차주출전,0055382,마이럭키데이,관리사,07:59,07:47,-,12분,2026-04-20,토마스(8조)
차주출전,0055124,파워풀워리어,관리사,08:13,07:59,-,14분,2026-04-20,토마스(8조)
차주출전,0055320,해랑루비,관리사,07:32,07:20,-,12분,2026-04-20,김도현(9조)
금주출전,0056565,미팅세인트,관리사,06:20,06:10,-,10분,2026-04-20,강형곤(2조)
차주출전,0055733,대길환호,관리사,08:23,08:10,-,13분,2026-04-20,강은석(22조)
차주출전,0055329,파워풀노던,관리사,08:54,08:38,-,16분,2026-04-20,문현철(3조)
차주출전,0055470,브라보영,관리사,08:12,07:58,-,14분,2026-04-20,민장기(21조)
차주출전,0055339,조지프린스,관리사,08:59,08:40,-,19분,2026-04-20,이상영(27조)
차주출전,0055212,미스팰컨,조교사,08:47,08:24,-,23분,2026-04-20,구민성(10조)
차주출전,0055400,진격의빛,관리사,07:54,07:43,-,11분,2026-04-20,장세한(17조)
차주출전,0055206,하늘명장,관리사,08:02,07:43,-,19분,2026-04-20,김도현(9조)
금주출전,0054800,판타스틱이글,기수,06:19,06:10,-,9분,2026-04-20,토마스(8조)
차주출전,0055488,오아시스왕자,관리사,08:51,08:33,-,18분,2026-04-20,백광열(1조)
차주출전,0054742,나는꿈,관리사,08:30,08:12,-,18분,2026-04-20,라이스(31조)
금주출전,0054743,원대한꿈,관리사,06:24,06:13,-,11분,2026-04-20,구민성(10조)
차주출전,0055943,메이비퀸,관리사,08:37,08:19,-,18분,2026-04-20,토마스(8조)
차주출전,0055469,빅토리타임,관리사,08:12,07:58,-,14분,2026-04-20,민장기(21조)
차주출전,0054674,파격의반석,관리사,06:46,06:36,-,10분,2026-04-20,이정표(18조)
차주출전,0056196,용비천마,관리사,07:32,07:20,-,12분,2026-04-20,김도현(9조)
금주출전,0056265,스마트샤말,기수,06:54,06:43,-,11분,2026-04-20,김도현(9조)
차주출전,0055924,새내다올,관리사,08:30,08:16,-,14분,2026-04-20,강형곤(2조)
차주출전,0055903,닥터무적,관리사,09:47,09:30,-,17분,2026-04-20,백광열(1조)
차주출전,0055197,파워풀케이랜,관리사,08:13,07:59,-,14분,2026-04-20,토마스(8조)
차주출전,0055909,솔내음강,관리사,07:53,07:40,-,13분,2026-04-20,안우성(15조)
차주출전,0055901,오아시스한센,관리사,09:17,09:06,-,11분,2026-04-20,백광열(1조)
차주출전,0055210,선더불릿,관리사,07:59,07:47,-,12분,2026-04-20,토마스(8조)
차주출전,0055363,골든코드,관리사,08:47,08:24,-,23분,2026-04-20,구민성(10조)
차주출전,0056012,닥터파워,관리사,09:16,09:04,-,12분,2026-04-20,백광열(1조)
차주출전,0055869,온리포미,관리사,08:37,08:19,-,18분,2026-04-20,토마스(8조)
차주출전,0055952,서니와일드,관리사,08:26,08:06,-,20분,2026-04-20,문현철(3조)
차주출전,0053378,나올패스,관리사,08:35,08:26,-,9분,2026-04-20,박지헌(18조)
차주출전,0053317,벌교시그니처,관리사,07:19,07:06,-,13분,2026-04-20,홍윤화(13조)
금주출전,0053277,빅토리시크릿,관리사,06:55,06:46,-,9분,2026-04-20,우창구(5조)
차주출전,0053288,블리스스타,관리사,06:45,06:34,-,11분,2026-04-20,서인석(33조)
차주출전,0053260,스마트해성,관리사,06:48,06:32,-,16분,2026-04-20,조현수(11조)
차주출전,0053318,영월사랑,관리사,08:11,08:00,-,11분,2026-04-20,홍윤화(13조)
금주출전,0053334,한화륭,기수,08:12,07:58,-,14분,2026-04-20,최용구(8조)
금주출전,0053345,금성샤이니,기수,07:16,07:08,-,8분,2026-04-20,박재우(50조)
금주출전,0053290,월드베리언스,관리사,06:20,06:11,-,9분,2026-04-20,김동균(52조)
차주출전,0053415,카타리나라,관리사,08:02,07:44,-,18분,2026-04-20,박윤규(4조)
금주출전,0053241,카오스,관리사,07:09,06:58,-,11분,2026-04-20,최용구(8조)
차주출전,0053350,케렌시아,관리사,07:04,06:54,-,10분,2026-04-20,정호익(10조)
금주출전,0053291,창조의아침,관리사,07:05,06:55,-,10분,2026-04-20,김동균(52조)
금주출전,0053276,고주일척,기수,06:34,06:25,-,9분,2026-04-20,함완식(28조)
특별대상경주,0053436,관악산스카이,관리사,06:55,06:44,-,11분,2026-04-20,이준철(48조)
차주출전,0053271,타이거망치,관리사,07:14,07:05,-,9분,2026-04-20,강환민(31조)
차주출전,0053447,하이데이,관리사,06:53,06:39,-,14분,2026-04-20,박지헌(18조)
금주출전,0053284,컴플리트퓨처,관리사,08:00,07:48,-,12분,2026-04-20,강성오(9조)
금주출전,0053270,비트프레시,기수,07:56,07:46,-,10분,2026-04-20,김동균(52조)
금주출전,0053417,에스파이어,기수,06:23,06:10,-,13분,2026-04-20,심승태(37조)
차주출전,0053273,동진비상,관리사,09:04,08:45,-,19분,2026-04-20,배휴준(29조)
금주출전,0053413,역전의히트,관리사,07:10,07:00,-,10분,2026-04-20,심승태(37조)
차주출전,0053272,원더풀삭스,관리사,07:05,06:53,-,12분,2026-04-20,리카디(34조)
금주출전,0053373,영원한솔레오,관리사,07:49,07:38,-,11분,2026-04-20,이동국(17조)
차주출전,0053422,블루리본,관리사,07:26,07:16,-,10분,2026-04-20,이준철(48조)
금주출전,0053418,파이터,기수,08:02,07:51,-,11분,2026-04-20,문병기(21조)
차주출전,0057401,영광의호프,관리사,07:44,07:29,-,15분,2026-04-20,토마스(8조)
차주출전,0057561,판타스틱허니,기수,08:01,07:49,-,12분,2026-04-20,강은석(22조)
차주출전,0060851,차밍보스,관리사,08:58,08:45,-,13분,2026-04-20,라이스(31조)
차주출전,0056631,브이라인,관리사,08:12,07:58,-,14분,2026-04-20,민장기(21조)
금주출전,0057382,바람대로,관리사,07:43,07:28,-,15분,2026-04-20,라이스(31조)
차주출전,0056662,채스칸,관리사,08:23,08:10,-,13분,2026-04-20,강은석(22조)
금주출전,0060852,아처하트,관리사,06:25,06:14,-,11분,2026-04-20,문현철(3조)
차주출전,0061896,PERFUME BOMB_자마,관리사,08:26,08:12,-,14분,2026-04-20,김도현(9조)
차주출전,0057381,폭풍,관리사,08:47,08:24,-,23분,2026-04-20,구민성(10조)
금주출전,0060841,치프블레임,관리사,07:37,07:25,-,12분,2026-04-20,하무선(28조)
차주출전,0057380,타이칸선더,관리사,07:01,06:47,-,14분,2026-04-20,김길중(24조)
차주출전,0056680,신천돌로리스,관리사,08:30,08:16,-,14분,2026-04-20,강형곤(2조)
금주출전,0057334,클러치위너,관리사,07:18,07:07,-,11분,2026-04-20,문현철(3조)
차주출전,0056765,스위트파워,관리사,07:14,07:01,-,13분,2026-04-20,토마스(8조)
차주출전,0060848,필승여제,관리사,06:23,06:10,-,13분,2026-04-20,강은석(22조)
