기수1,기수2,동반출전,동반입상,확률%
김용근,김철호,57,2,3.51
김용근,정정희,124,12,9.68
김용근,조한별,117,3,2.56
김정준,김철호,49,1,2.04
김정준,김효정,103,6,5.83
김정준,빅투아르,76,5,6.58
김정준,임다빈,104,7,6.73
김정준,장추열,117,15,12.82
김정준,정정희,110,7,6.36
김정준,조상범,106,7,6.6
김정준,조한별,119,4,3.36
김철호,김효정,55,2,3.64
김철호,빅투아르,51,3,5.88
김철호,장추열,53,4,7.55
김철호,조상범,56,2,3.57
김철호,조한별,61,1,1.64
김효정,정정희,125,15,12.0
김효정,조한별,135,6,4.44
임다빈,조한별,134,3,2.24
장추열,정정희,120,14,11.67
장추열,조한별,132,8,6.06
김성현,김태희,57,1,1.75
김성현,조인권,40,0,0.0
김태희,빅투아르,63,3,4.76
김태희,씨씨웡,62,5,8.06
김태희,이동하,91,5,5.49
김태희,장추열,84,8,9.52
김태희,정정희,85,4,4.71
김태희,조상범,83,5,6.02
김태희,조인권,45,1,2.22
김태희,조재로,89,8,8.99
김태희,조한별,91,1,1.1
빅투아르,조인권,47,1,2.13
씨씨웡,조상범,89,4,4.49
씨씨웡,조인권,50,4,8.0
씨씨웡,조한별,102,8,7.84
이동하,정정희,129,12,9.3
이동하,조인권,64,0,0.0
이동하,조한별,109,8,7.34
장추열,조인권,66,4,6.06
정정희,조인권,71,7,9.86
조상범,조인권,63,3,4.76
조인권,조재로,58,6,10.34
조인권,조한별,64,5,7.81
김용근,조인권,56,5,8.93
김효정,조인권,54,2,3.7
김효정,해리카심,96,7,7.29
임다빈,조인권,74,2,2.7
조인권,코지,29,1,3.45
조인권,해리카심,53,1,1.89
김용근,김태희,83,7,8.43
김철호,김태희,41,2,4.88
김철호,마이아,44,4,9.09
김철호,이동하,63,4,6.35
김철호,해리카심,46,4,8.7
김태희,마이아,50,1,2.0
김태희,임다빈,79,2,2.53
김태희,해리카심,69,2,2.9
마이아,정정희,84,12,14.29
마이아,조한별,85,6,7.06
김옥성,김태훈,27,0,0.0
김옥성,문세영,29,0,0.0
김옥성,조인권,24,0,0.0
김태훈,이혁,67,4,5.97
김태훈,조상범,91,3,3.3
김태훈,조인권,27,0,0.0
김태훈,조한별,80,2,2.5
문세영,조인권,54,3,5.56
문세영,조한별,77,7,9.09
이혁,조인권,58,3,5.17
김아현,김정준,35,1,2.86
김아현,조인권,17,1,5.88
김아현,조한별,38,0,0.0
김정준,김태훈,60,2,3.33
김정준,씨씨웡,87,6,6.9
김정준,조인권,42,2,4.76
김정준,코지,61,7,11.48
김태훈,임다빈,75,4,5.33
김성현,유승완,67,2,2.99
김옥성,유승완,49,2,4.08
김효정,유승완,104,6,5.77
유승완,장추열,119,6,5.04
유승완,정정희,104,4,3.85
유승완,조상범,113,6,5.31
유승완,조재로,109,6,5.5
유승완,조한별,104,5,4.81
김정준,문세영,55,7,12.73
김정준,박태종,27,0,0.0
김정준,이동하,82,10,12.2
김정준,조재로,100,9,9.0
김태훈,박태종,27,1,3.7
김태훈,정정희,85,4,4.71
박태종,이동하,39,2,5.13
김용근,유승완,120,3,2.5
김철호,유승완,53,1,1.89
김효정,마이아,81,15,18.52
김효정,이혁,94,6,6.38
마이아,유승완,75,9,12.0
문세영,유승완,74,4,5.41
유승완,이동하,113,8,7.08
유승완,이혁,99,7,7.07
유승완,임다빈,118,9,7.63
김태훈,김태희,53,3,5.66
김태훈,오수철,64,0,0.0
김태훈,유승완,70,3,4.29
김태훈,이용호,35,3,8.57
김태훈,해리카심,50,2,4.0
김태희,오수철,61,0,0.0
김태희,유승완,63,1,1.59
김태희,이용호,36,1,2.78
씨씨웡,오수철,54,4,7.41
씨씨웡,유승완,78,5,6.41
씨씨웡,이용호,35,3,8.57
씨씨웡,해리카심,68,3,4.41
오수철,유승완,85,2,2.35
오수철,이동하,75,2,2.67
오수철,이용호,30,1,3.33
오수철,임다빈,65,2,3.08
오수철,정정희,89,3,3.37
오수철,조인권,34,0,0.0
오수철,해리카심,49,0,0.0
유승완,이용호,53,2,3.77
유승완,조인권,49,3,6.12
유승완,해리카심,79,4,5.06
이동하,이용호,46,2,4.35
이용호,임다빈,52,1,1.92
이용호,정정희,50,2,4.0
이용호,조인권,21,0,0.0
이용호,해리카심,33,2,6.06
김혜선,이혁,5,0,0.0
김혜선,정도윤,5,0,0.0
마이아,박재이,6,0,0.0
마이아,서승운,9,1,11.11
마이아,씨씨웡,76,10,13.16
마이아,정도윤,7,0,0.0
마이아,조재로,96,12,12.5
문세영,박재이,5,0,0.0
문세영,서승운,8,1,12.5
문세영,정도윤,6,0,0.0
